local_item_id,category_id,item_key,brand,image_url,external_link,external_service,is_active,created_at,updated_at
911,4,coffee_freddo_intenso,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/freddo_intenso,NESPRESSO,t,2026-02-23 10:39:14.728036,2026-02-23 10:39:14.728036
912,4,coffee_volluto,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/volluto,NESPRESSO,t,2026-02-23 10:39:14.730304,2026-02-23 10:39:14.730304
913,4,coffee_colombia,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/colombia,NESPRESSO,t,2026-02-23 10:39:14.73449,2026-02-23 10:39:14.73449
914,4,coffee_livanto,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/livanto,NESPRESSO,t,2026-02-23 10:39:14.740731,2026-02-23 10:39:14.740731
915,4,coffee_venezia,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/venezia,NESPRESSO,t,2026-02-23 10:39:14.745733,2026-02-23 10:39:14.745733
916,4,coffee_ristretto,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/ristretto,NESPRESSO,t,2026-02-23 10:39:14.748336,2026-02-23 10:39:14.748336
917,4,coffee_arpeggio,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/arpeggio,NESPRESSO,t,2026-02-23 10:39:14.753797,2026-02-23 10:39:14.753797
918,4,coffee_arpeggio_extra,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/arpeggio_extra,NESPRESSO,t,2026-02-23 10:39:14.756221,2026-02-23 10:39:14.756221
919,4,coffee_arpeggio_decaffeinato,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/arpeggio_decaffeinato,NESPRESSO,t,2026-02-23 10:39:14.759483,2026-02-23 10:39:14.759483
920,4,coffee_ristretto_decaffeinato,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/ristretto_decaffeinato,NESPRESSO,t,2026-02-23 10:39:14.763363,2026-02-23 10:39:14.763363
921,4,coffee_napoli,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/napoli,NESPRESSO,t,2026-02-23 10:39:14.765227,2026-02-23 10:39:14.765227
922,4,coffee_kazaar,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/kazaar,NESPRESSO,t,2026-02-23 10:39:14.768762,2026-02-23 10:39:14.768762
923,4,coffee_roma,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/roma,NESPRESSO,t,2026-02-23 10:39:14.770797,2026-02-23 10:39:14.770797
924,4,coffee_corto,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/corto,NESPRESSO,t,2026-02-23 10:39:14.77253,2026-02-23 10:39:14.77253
925,4,coffee_scuro,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/scuro,NESPRESSO,t,2026-02-23 10:39:14.775719,2026-02-23 10:39:14.775719
926,4,coffee_chiaro,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/chiaro,NESPRESSO,t,2026-02-23 10:39:14.777755,2026-02-23 10:39:14.777755
927,4,coffee_vanilla_flavored,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/vanilla_flavored,NESPRESSO,t,2026-02-23 10:39:14.781515,2026-02-23 10:39:14.781515
928,4,coffee_caramel_creme,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/caramel_creme,NESPRESSO,t,2026-02-23 10:39:14.783452,2026-02-23 10:39:14.783452
929,4,coffee_chocolate_fudge,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/chocolate_fudge,NESPRESSO,t,2026-02-23 10:39:14.785432,2026-02-23 10:39:14.785432
930,4,coffee_hazelnut,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/hazelnut,NESPRESSO,t,2026-02-23 10:39:14.787181,2026-02-23 10:39:14.787181
931,4,coffee_vanilla_decaffeinato,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/vanilla_decaffeinato,NESPRESSO,t,2026-02-23 10:39:14.789011,2026-02-23 10:39:14.789011
932,4,coffee_vienna_lungo_decaffeinato,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/vienna_lungo_decaffeinato,NESPRESSO,t,2026-02-23 10:39:14.792337,2026-02-23 10:39:14.792337
933,4,coffee_volluto_decaffeinato,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/volluto_decaffeinato,NESPRESSO,t,2026-02-23 10:39:14.79436,2026-02-23 10:39:14.79436
934,4,coffee_paris,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/paris,NESPRESSO,t,2026-02-23 10:39:14.796104,2026-02-23 10:39:14.796104
935,4,coffee_istanbul,Nespresso,,https://www.nespresso.com/kr/ko/order/capsules/istanbul,NESPRESSO,t,2026-02-23 10:39:14.79794,2026-02-23 10:39:14.79794
